,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,r
0,0.0,1,0.04541741614005597,2.097046659881763,1.2337497921436717e-16,6.661338147750939e-16,0.10594135241228853,2.42378299292895,1.968682191727399e-16,8.514391131271971e-16,0
1,0.0,1,0.054426637515735725,2.2707548437393856,1.183225970905847e-16,4.797259982948207e-16,0.127572822512979,2.5933381761099934,2.0845922586582832e-16,7.4055976263919785e-16,1
2,0.0,1,0.0567755873964222,2.2944381224720596,1.411848069010624e-16,8.662480883495049e-16,0.1326999019193114,2.6136256370396667,2.3807115292023343e-16,1.1143273751277045e-15,2
3,0.02,1,0.0421125303593673,2.0862159937603493,0.003273080981717589,0.2350146192997229,0.10090428643795138,2.421922807679324,0.0065539316440293635,0.2940264295628461,0
4,0.02,1,0.06363861840948576,2.360353060649206,0.001770215159802825,0.017528051352366816,0.1454564705453863,2.679691212340724,0.002444489857704107,0.01886998292069268,1
5,0.02,1,0.04637179528292302,2.136635732289096,0.001249867810357437,0.0045735635261897984,0.10763757663591693,2.4616139269791253,0.0017780560991729844,0.0048754056831676745,2
6,0.04,1,0.05446379857069723,2.295018978799068,0.006816566718254505,0.07760635751523003,0.12584424784871212,2.6234292258674508,0.008706185415719169,0.08599518910856242,0
7,0.04,1,0.04528255885683109,2.21370905222169,0.002899625983476442,0.012203952604686232,0.10297404684527442,2.549906791230883,0.003408515036867941,0.012437355676998817,1
8,0.04,1,0.04181713038837944,2.1013473344189837,0.008299959039487971,0.055539812927188695,0.09573744034778245,2.4462764631495477,0.010194350348337518,0.06166786124646998,2
9,0.06,1,0.2334627272525302,2.6728149414822706,0.009058410532841017,0.04385884262865319,0.3524551536167602,3.029608399623603,0.010968447713119956,0.053635742186036194,0
10,0.06,1,0.2647168999432261,2.2916593142150288,0.012368173422682514,0.013857083352275604,0.36517401512749703,2.6732675751956427,0.016339790813958314,0.017183389701712425,1
11,0.06,1,0.03960630117723419,1.733857393900349,0.01930702096712753,0.03130317393253896,0.06277195384831935,2.0550403899174103,0.020801627918785676,0.03916164249950493,2
12,0.08,1,0.066206691226199,2.257990682048732,0.016233764692041488,0.12153822477722555,0.13098560172898444,2.575457632602528,0.020152346811498596,0.1408007635938132,0
13,0.08,1,0.05623847794725565,1.965942108365684,0.025880215503302963,0.39201505007662335,0.11648742251980346,2.246997112562489,0.030806931944938176,0.5667072796980195,1
14,0.08,1,0.03798622458055909,1.5824994036678075,0.02155254720821908,1.037945604829518,0.05656688567424362,1.9040849974426235,0.03014794636144009,1.35803350562136,2
15,0.1,1,0.2171175407591757,2.562577709444854,0.019773295081244143,0.3209592706440308,0.26915979601572376,2.910637243804816,0.030613837344022517,0.35032086181106065,0
16,0.1,1,0.028470888322000752,1.689277139106502,0.018979900832879624,0.10333818938520364,0.0364643017681767,2.097089047705401,0.026049017169760397,0.10998511034731076,1
17,0.1,1,0.030910668151055386,1.742266473194204,0.013403477902647476,0.1198719816853395,0.052373582762475314,2.0882275197721865,0.016674350676983644,0.13466537321489513,2
18,0.12,1,0.2468341232296501,2.301906790454733,0.011683017774815223,0.1239460877418659,0.3577111198199535,2.664112006309078,0.014954070136858793,0.13575869996532905,0
19,0.12,1,0.07154655344168728,2.3896252264534334,0.02865187284425901,0.09860041941973628,0.14592080060105872,2.709011715571657,0.0333503582063256,0.09927512075398927,1
20,0.12,1,0.03448010596798646,1.486138626616537,0.019094347648944843,0.1711824235053544,0.041381827621636086,1.8551187380994023,0.028327491213834325,0.18668326367046403,2
21,0.14,1,0.21304109621477255,2.67584705852626,0.027066683631471144,0.39979950071044235,0.2783160625254375,3.0317401346403945,0.032507575631006945,0.5767190069049043,0
22,0.14,1,0.20906947657035146,2.6346063755695988,0.07451274358892414,2.5076809039520622,0.2790728765560576,2.985469530661626,0.08977219183481859,3.007961802431339,1
23,0.14,1,0.22493962980951654,2.5309948934439133,0.04189528325066348,0.22712409410682663,0.2945419474942573,2.899264315531564,0.06089143131443496,0.23808348007902266,2
24,0.16,1,0.07469914354513084,2.432676676441517,0.024691988139632064,0.3666861594424384,0.11522596098714144,2.8044937385188367,0.03835733376072176,0.4011216509385666,0
25,0.16,1,0.05457043565330392,1.38914099842082,0.05557243946909295,0.9740854832915756,0.06632635810767695,1.777615207988403,0.07503287658770523,1.1641958767059755,1
26,0.16,1,0.39635159881318055,2.449070364415547,0.07444206207424514,0.27493623854337,0.47413520051020736,2.844488541730197,0.08430175493196283,0.292579754891461,2
27,0.18,1,0.06188698780660893,1.5836419485718611,0.06348983054064668,0.924093227688708,0.07271075826550905,2.025461930146489,0.08040042939594441,1.1096957751215457,0
28,0.18,1,0.0780416364887467,2.2810448254748525,0.04489441351659532,0.5845741256509912,0.10538149596331614,2.6407238171920002,0.05974216362275658,0.6471475573084994,1
29,0.18,1,0.05705243268360994,1.72980173628202,0.04344296629970311,0.3565654882110654,0.06995311616202865,2.108848083094434,0.061965429519334564,0.366289245114831,2
30,0.2,1,0.04277885340145102,1.4593675537355244,0.023861462279611865,0.10032160139590669,0.057950067227859954,1.8321811996298063,0.02972082107410164,0.12037405686520575,0
31,0.2,1,0.05496599065415452,2.0017219232600656,0.09489786986235524,1.5864124755384712,0.0718180087779536,2.4011122796467084,0.115570087015617,1.873022150714118,1
32,0.2,1,0.040530888477418724,1.6255023760113751,0.06971485955313209,2.211426503701425,0.05647664294081015,1.9908202522503207,0.08217114370706971,2.7055840481174545,2
33,0.0,5,0.0063514390525058525,0.23099029833740484,1.5373349891711907e-09,2.0441345790256497e-09,0.007418483122309221,0.280749050027955,1.7565627200951443e-09,2.2714376444171143e-09,0
34,0.0,5,0.0027573473805069253,0.12964109513075955,8.587065068269932e-10,1.2911892494836833e-09,0.0031933196058640733,0.16298728635946647,1.0320372256014943e-09,1.4702749800843445e-09,1
35,0.0,5,0.0020983580969553277,0.11741311828542737,4.811475664649271e-10,1.0213652571162744e-09,0.002483016352595917,0.14842230083052135,7.647354023502847e-10,1.2621793285098118e-09,2
36,0.02,5,0.012858417390546335,0.29407762548626104,0.0028821208380670916,0.0035522988438109427,0.015092814748028104,0.34243734860396535,0.004044940633942563,0.0057387855150390485,0
37,0.02,5,0.007837547481949463,0.17030460440650239,0.005878642750478126,0.008999030453125011,0.008916262438274987,0.21674557051801266,0.00701838804308329,0.010063452913103368,1
