,sigma,function,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,n,r
30,0.2,1,0.043759682585387615,1.3195421417995181,0.023754581473793366,0.09157919966377256,0.05996312380638845,1.7002105341267284,0.029704943544734595,0.11244511956406968,1,0
31,0.2,1,0.055244667625047775,1.8297928713515006,0.09753996397179997,1.455794944720864,0.07261918669670982,2.2434965165307146,0.12469899901843567,1.7524190152420074,1,1
32,0.2,1,0.04136460449394816,1.4787328248263396,0.06966118271840126,2.010898267885189,0.05970513891427666,1.8529559332393741,0.08197339752470693,2.52336639602121,1,2
33,0.0,5,0.006201513042088266,0.21047521698055263,1.5248043346479297e-09,1.99672116671511e-09,0.007112741100758507,0.2617718963009057,1.757352097252733e-09,2.2561200185734356e-09,5,0
34,0.0,5,0.002755323217707062,0.11722972387330113,8.572526716266182e-10,1.2476820529120199e-09,0.003182702965543389,0.15092365635460986,1.0410496372104824e-09,1.4540641284806847e-09,5,1
35,0.0,5,0.0020634400359364887,0.10605029696226016,5.045014785561482e-10,1.0123218004605878e-09,0.002376145513430877,0.13724768795920742,8.050744716926471e-10,1.255322854691027e-09,5,2
36,0.02,5,0.01287872504520834,0.270658593472377,0.0030286030252152096,0.003200177887045987,0.015103357338220956,0.32190928325109336,0.0044767465610858325,0.004892692732285364,5,0
37,0.02,5,0.007824477946978275,0.15355784961385574,0.006080094770943516,0.008269581475076908,0.008907964747645221,0.2008796047711926,0.007439175701328943,0.009183930174896934,5,1
38,0.02,5,0.006431560784131079,0.07599040629873809,0.006266579789838617,0.01278606742635822,0.007973750613852996,0.10694717390050505,0.008902231465783898,0.013678836103284407,5,2
39,0.04,5,0.009625070365897716,0.12604454297574938,0.007217174955021722,0.014494771509526187,0.01168850344752301,0.14970843518920407,0.010902039021513805,0.015931364715724403,5,0
40,0.04,5,0.011540652638916956,0.07081098523096674,0.009136715970871958,0.016246600684585062,0.015415232614401508,0.09702239514968079,0.015090598569605485,0.01996605695993978,5,1
41,0.04,5,0.01603455613122342,0.1832522076506036,0.012614877426469752,0.018718855864556776,0.01854520187171187,0.21408437456323615,0.017822987357074077,0.022604377470319632,5,2
42,0.06,5,0.08426026227610298,0.21873149279064047,0.010658714129525577,0.008513360607320957,0.0938008396373178,0.23037924034679344,0.012241477811682933,0.009966187519032192,5,0
43,0.06,5,0.007840591776948761,0.17217054317073324,0.013155904876975523,0.02171983304616466,0.008851078235159572,0.21578244024720367,0.0178760993094692,0.024057963041336953,5,1
44,0.06,5,0.031090832419572105,0.46266331029272917,0.009342011631246963,0.016211041231262942,0.050128273788193366,0.5082259804350135,0.012394710069866113,0.01906263460584237,5,2
45,0.08,5,0.01908580323037329,0.06105676023931655,0.02230863884938068,0.03622773610859316,0.02400386893785312,0.08730854129188403,0.028759077814483336,0.03905503264789763,5,0
46,0.08,5,0.021421042296310203,0.09724112359774158,0.010153775360733554,0.009011626622470993,0.03083827869491964,0.10370755577214764,0.011674269146242039,0.010168419868191825,5,1
47,0.08,5,0.013307176660447288,0.19938657661491316,0.012534222466904384,0.01718535611383659,0.015612435841448927,0.2642428801361936,0.01585745964174201,0.019363920277334638,5,2
48,0.1,5,0.028201392752534176,0.08848240250454845,0.025226699031521697,0.022179730380032285,0.03387037065623536,0.09094005044523593,0.030510255797325674,0.0271356910092069,5,0
49,0.1,5,0.041694826396918745,0.6625519391844973,0.03558493400335842,0.05777915592875922,0.048390313187306765,0.7580322512508547,0.04397200190148685,0.062049976589488555,5,1
50,0.1,5,0.113418376126419,0.045478617552479186,0.021603046301206776,0.026545609725757174,0.12679254201089327,0.05193591113264839,0.026125875035516676,0.029901736356996535,5,2
51,0.12,5,0.02631292350752225,0.029899216219247744,0.02266257025441841,0.03663876360366585,0.03027430392801616,0.036070268968290936,0.029146938705489234,0.039471289067926005,5,0
52,0.12,5,0.026178540307673213,0.08834349981431655,0.027231482962710052,0.04702602955125332,0.03344988193208526,0.11156957294538362,0.033772537744926584,0.05101655860099323,5,1
53,0.12,5,0.01652382083108696,0.24820857918499226,0.02115687198899655,0.027523505071071264,0.018755002735889977,0.30573004851479424,0.025653159489428794,0.030660860496976985,5,2
54,0.14,5,0.13999841039316277,0.03217272773310484,0.07160547923664788,0.07954445666466693,0.15641539756462824,0.036758618135898986,0.07951847728936784,0.0844077735653028,5,0
55,0.14,5,0.018777936264273234,0.09783301438171205,0.036445538504095154,0.05056006457189598,0.023879008221552058,0.10014647640305327,0.04191422288188856,0.05415778651302591,5,1
56,0.14,5,0.014292996961201931,0.06794922217303014,0.020499556757534503,0.032325863979069544,0.01635148904763815,0.09912995444255984,0.025831094478097335,0.034944536498823564,5,2
57,0.16,5,0.058357384709852876,0.07640052555765389,0.03218718203577207,0.027229766100827866,0.07226935863971319,0.07672221399451969,0.04165390973253274,0.030904527928445738,5,0
58,0.16,5,0.05086597903601395,1.0747464813491336,0.06798549946275291,0.09204937076778331,0.08239186388899204,1.170951633942394,0.07642339513976383,0.09599029765614597,5,1
59,0.16,5,0.058818972460915206,0.04065497755650652,0.017507667237882708,0.008410688722505147,0.07660275799811357,0.04467964009281215,0.023378266360274666,0.010159291045481245,5,2
60,0.18,5,0.09476609704792678,1.2358942393422188,0.04151622015000655,0.03739442773634433,0.15292285807981496,1.300948492451479,0.05134576028996581,0.04770638550407109,5,0
61,0.18,5,0.0523742355477503,0.12163259997116518,0.034339573153134774,0.017325044768381,0.05991133836048487,0.1259262531495684,0.041336806919456355,0.026480629739902582,5,1
62,0.18,5,0.024198648294708098,0.11392432499819963,0.033482031827424465,0.043572306371753446,0.03086767858028162,0.14986295245267303,0.03764246975799765,0.0469411674709972,5,2
63,0.2,5,0.04436287361502142,0.2080366181743968,0.13251758060256105,0.22070901150575542,0.05691767614764334,0.2871372462369706,0.16251257460539253,0.23622102867272762,5,0
64,0.2,5,0.0642001653327292,0.945631139614518,0.13502625601223117,0.19134521956811618,0.11532544655295872,0.9845915695957488,0.15788741781438173,0.20904760146656673,5,1
65,0.2,5,0.08958253199485258,0.6367726700003149,0.13262936193705446,0.23784436510820198,0.1131848270803517,0.6811491315551764,0.16754666442999766,0.2523050705813849,5,2
66,0.0,7,0.010322810011726918,0.16315316611533073,1.3877787807814457e-16,5.075305255429287e-16,0.018320762345957566,0.17518982436121114,2.3244086281577784e-16,6.713997766802521e-16,7,0
67,0.0,7,0.009518257663027876,0.14589301205883606,1.609823385706477e-16,9.727668406239468e-16,0.016580047898685835,0.15667013033651958,2.368186647638997e-16,1.1384137090105207e-15,7,1
68,0.0,7,0.009825952057744286,0.14942097444940142,4.804675176236136e-13,5.978314140027881e-11,0.01713672042401143,0.16027268096383837,5.747334482759208e-13,8.293518427558897e-11,7,2
69,0.02,7,0.014631036402029436,0.15689507263628105,0.009712033298174362,0.06875594957946352,0.020279941249543243,0.16800416947991154,0.01148571270812901,0.07788676949285463,7,0
70,0.02,7,0.007006723846999009,0.08875690823122051,0.0063965853357496865,0.06387033263773499,0.00788082378390172,0.10097242507545348,0.00703236972320756,0.0746448293855046,7,1
71,0.02,7,0.010231294071790723,0.11500365215846467,0.005099439528358348,0.034478797412892274,0.014135300972834596,0.12410864563690582,0.006071173755134719,0.04195318777906643,7,2
72,0.04,7,0.005971923795938085,0.09367380846255961,0.008658549719725137,0.0860854832385532,0.008072299835106458,0.10372459403727685,0.0115931513953609,0.09417063835420014,7,0
73,0.04,7,0.10484707670820174,0.21870711123741068,0.012380406065327731,0.10066325997595849,0.11282042905970383,0.2380030030245915,0.015192810480792733,0.10842541320161224,7,1
74,0.04,7,0.011703232023690797,0.04595664948022219,0.020705262394170386,0.19602436746593166,0.014903109442014145,0.056588046938170815,0.02411765558333995,0.21487508066497782,7,2
75,0.06,7,0.20096839145150808,0.24378896555423685,0.008261423322334777,0.08632967038085211,0.22366423309022565,0.26435863983011454,0.011896991002196112,0.09476047771071047,7,0
76,0.06,7,0.023362585428757292,0.14855368388407678,0.01457835496865631,0.07554575611417322,0.028049354317583382,0.16350685441076535,0.019773266763344424,0.08300019130766222,7,1
77,0.06,7,0.0156882448178866,0.08982976152831856,0.011923158015047996,0.06269332155244876,0.01757292528675577,0.1039061334420209,0.018103557991274895,0.07058805710464007,7,2
