,sigma,function,mae_nn_interp.,mae_nn_extrap.,mae_mdl_interp.,mae_mdl_extrap.,rmse_nn_interp.,rmse_nn_extrap.,rmse_mdl_interp.,rmse_mdl_extrap.,n,r
0,0.0,tanh,0.038833576896727715,0.04882236947834501,0.0011370058279328071,0.009392899137189225,0.04785208442416067,0.0529946121666291,0.001339908826641185,0.011199330257102654,0,0
1,0.0,tanh,0.011743354180494998,0.12152409433220479,0.0028271958302303972,0.3091835382178108,0.015463478488891793,0.127937219340657,0.0034542655913640877,0.4544970471379306,1,0
2,0.0,tanh,0.04136113106486342,0.5553506600611415,0.0009969200491341263,0.05673615631809918,0.11169170891265058,0.5606371460689458,0.0012219958411837286,0.06999310371366914,2,0
3,0.0,tanh,0.012956855918641107,0.09113557243890423,0.0003143094730039491,0.041854592238469504,0.03314063302254543,0.10110758827621011,0.00040638403268784086,0.048799162976005186,3,0
4,0.0,tanh,0.008927732559313653,0.04735588515035791,0.00016533556799462485,0.0028348500023339346,0.01046870669180323,0.04950067427222352,0.0002481975708545043,0.003921150476668365,4,0
5,0.0,tanh,0.010620778393972472,0.06196911095198049,0.0004598485240460866,0.13902601672392373,0.017780632112029127,0.07413346957184411,0.0006156398376219516,0.16619438537266082,5,0
6,0.0,tanh,0.0037336467746465008,0.04572746027959877,0.00032645844210070556,0.017567436433525117,0.007972653492634181,0.04678470908674833,0.0003950162982218573,0.022244788335344358,6,0
7,0.0,tanh,0.005057369252272592,0.07421814948174683,0.0006968933488452324,0.024947333909563312,0.011118847171969487,0.07499369939358548,0.0008981142397000215,0.03225582049157645,7,0
8,0.0,tanh,0.0020273506759488236,0.029181288604474536,5.4002010662032295e-05,0.05662447898555677,0.0023276930090828946,0.03262754507741908,8.350314160653629e-05,0.08174777863157028,8,0
9,0.0,tanh,0.007655277091676005,0.08142306219824931,1.462624255624128e-05,0.1586175722344708,0.01847853591374474,0.08173973564224568,1.6641087039133332e-05,0.4352158232991487,9,0
10,0.0,tanh,0.0379927258569522,0.047564222812514684,0.0006356181136731317,0.002193237563702318,0.04661413349137519,0.052112099791986964,0.0007968715843488397,0.002386184326872216,0,1
11,0.0,tanh,0.009338812777240435,0.07466778989625257,0.002582100974029141,272313352.8865551,0.012122760441198734,0.07765424681868702,0.003398116029545872,1461299404.337022,1,1
12,0.0,tanh,0.0423994547035303,0.5826532645339294,0.0005619449479388528,0.18466732826384175,0.11475762605194366,0.5886510456814273,0.0007538879918736602,0.2333891823072005,2,1
13,0.0,tanh,0.016540108652654185,0.15211193182907337,0.0003287965227113172,0.10000453161215313,0.041385538700855415,0.15513509449142707,0.0004358324314747049,0.13935728730743777,3,1
